S/Ns,Pig Run,Contractor,Date Launched,Time Launched,Launch Pressure (bar),Pressure After Launch (bar),Pig Type,Date Recovered,Time Recovered,Recovery Pressure (bar),Pressure After Recovery (bar),Pig Condition,Debris QTY (kg),Debris Type,Dimensions,Line
1,1,DSV,07/23/2023,1743hrs,16.3,17.9,BIDI+Brushes,07/27/2023,2355hrs,21.3,21.3,Moderate,855,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
2,2,DSV,07/01/2023,1949hrs,19.1,23.6,BIDI+Brushes,07/03/2023,0100hrs,22.4,22.4,OK,1149,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
3,3,DSV,03/04/2023,2254hrs,20.8,24.0,BIDI Without Brushes,03/09/2023,0451hrs,21.3,21.3,OK,1839,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
4,4,DSV,08/27/2023,2148hrs,17.2,20.7,BIDI Without Brushes,08/30/2023,2200hrs,20.3,20.3,Moderate,698,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
5,5,DSV,12/12/2023,1402hrs,16.6,23.5,BIDI+Brushes,12/17/2023,0129hrs,20.3,20.3,Moderate,2208,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
6,6,DSV,03/16/2023,1430hrs,24.0,24.3,BIDI+Brushes,03/19/2023,2349hrs,24.2,24.2,Worn,1949,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
7,7,DSV,10/23/2023,1231hrs,22.9,23.3,BIDI+Brushes,10/25/2023,1407hrs,24.4,24.4,OK,1007,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
8,8,DSV,01/22/2023,2017hrs,24.8,24.8,BIDI+Brushes,01/27/2023,1244hrs,24.8,24.8,Moderate,514,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
9,9,DSV,03/22/2023,1159hrs,17.2,21.6,BIDI Without Brushes,03/24/2023,1001hrs,22.2,22.2,Moderate,1920,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
10,10,DSV,12/26/2023,0201hrs,20.7,22.1,BIDI+Brushes,12/28/2023,2317hrs,23.8,23.8,OK,1682,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
1,1,DSV,04/19/2023,1741hrs,19.1,19.2,BIDI Without Brushes,04/23/2023,1633hrs,22.3,22.3,Moderate,771,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
2,2,DSV,10/07/2023,0307hrs,17.9,23.5,BIDI Without Brushes,10/11/2023,1130hrs,20.2,20.2,OK,2922,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
3,3,DSV,11/11/2023,0232hrs,24.9,24.9,BIDI+Brushes,11/15/2023,0957hrs,24.9,24.9,Worn,735,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
4,4,DSV,09/02/2023,0842hrs,16.2,24.8,BIDI+Brushes,09/06/2023,1915hrs,21.9,21.9,OK,1798,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
5,5,DSV,06/17/2023,0404hrs,23.1,24.3,BIDI+Brushes,06/20/2023,2010hrs,24.7,24.7,OK,2061,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
6,6,DSV,07/18/2023,0128hrs,22.1,22.5,BIDI+Brushes,07/20/2023,0140hrs,24.6,24.6,OK,2665,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
7,7,DSV,04/03/2023,0400hrs,23.4,25.0,BIDI+Brushes,04/06/2023,0739hrs,24.5,24.5,OK,1949,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
8,8,DSV,12/04/2023,1912hrs,17.4,20.3,BIDI Without Brushes,12/08/2023,1053hrs,20.9,20.9,OK,1183,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
9,9,DSV,02/04/2023,1846hrs,16.1,21.9,BIDI+Brushes,02/06/2023,1156hrs,17.6,17.6,Worn,2257,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
10,10,DSV,06/30/2023,1255hrs,21.8,24.7,BIDI Without Brushes,07/03/2023,2259hrs,23.0,23.0,Worn,2031,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
