S/Ns,Pig Run,Contractor,Date Launched,Time Launched,Launch Pressure (bar),Pressure After Launch (bar),Pig Type,Date Recovered,Time Recovered,Recovery Pressure (bar),Pressure After Recovery (bar),Pig Condition,Debris QTY (kg),Debris Type,Dimensions,Line
8,8,DSV,06/06/2022,1034hrs,20.8,22.1,BIDI+Brushes,06/10/2022,0048hrs,24.1,24.1,OK,1562,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
9,9,DSV,01/06/2022,1603hrs,21.9,22.1,BIDI Without Brushes,01/11/2022,2124hrs,22.5,22.5,Moderate,2093,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
10,10,DSV,03/10/2022,1511hrs,20.8,21.7,BIDI Without Brushes,03/14/2022,0933hrs,22.7,22.7,Moderate,1579,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
1,1,DSV,12/14/2022,0105hrs,22.9,23.3,BIDI Without Brushes,12/19/2022,0431hrs,23.5,23.5,Worn,1302,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
2,2,DSV,10/09/2022,0224hrs,16.3,21.6,BIDI+Brushes,10/11/2022,1650hrs,19.3,19.3,OK,1177,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
3,3,DSV,06/22/2022,0811hrs,20.9,22.1,BIDI+Brushes,06/24/2022,0420hrs,22.9,22.9,Moderate,1271,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
4,4,DSV,07/07/2022,2229hrs,21.1,23.8,BIDI Without Brushes,07/12/2022,1046hrs,22.2,22.2,Moderate,564,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
5,5,DSV,05/16/2022,1558hrs,17.9,22.2,BIDI Without Brushes,05/20/2022,0353hrs,21.6,21.6,Worn,1643,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
6,6,DSV,09/20/2022,0144hrs,21.9,22.9,BIDI Without Brushes,09/22/2022,0109hrs,24.9,24.9,OK,1876,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
7,7,DSV,04/30/2022,0615hrs,24.3,24.5,BIDI Without Brushes,05/05/2022,0454hrs,24.5,24.5,Worn,1924,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
8,8,DSV,09/05/2022,1842hrs,24.3,24.5,BIDI Without Brushes,09/07/2022,0115hrs,24.5,24.5,OK,545,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
9,9,DSV,12/30/2022,1535hrs,22.5,25.0,BIDI+Brushes,01/01/2023,1934hrs,24.8,24.8,Moderate,1466,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
10,10,DSV,02/27/2022,0049hrs,21.0,23.2,BIDI+Brushes,03/02/2022,1755hrs,24.7,24.7,Worn,1173,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
