S/Ns,Pig Run,Contractor,Date Launched,Time Launched,Launch Pressure (bar),Pressure After Launch (bar),Pig Type,Date Recovered,Time Recovered,Recovery Pressure (bar),Pressure After Recovery (bar),Pig Condition,Debris QTY (kg),Debris Type,Dimensions,Line
1,1,DSV,10/27/2021,0604hrs,23.1,23.8,BIDI Without Brushes,11/01/2021,1910hrs,23.8,23.8,Moderate,2552,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
2,2,DSV,11/16/2021,1743hrs,19.5,24.9,BIDI Without Brushes,11/21/2021,0548hrs,21.9,21.9,Moderate,2235,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
3,3,DSV,08/25/2021,1148hrs,20.7,21.4,BIDI Without Brushes,08/28/2021,0124hrs,22.9,22.9,Moderate,2877,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
4,4,DSV,10/13/2021,1114hrs,23.1,24.0,BIDI+Brushes,10/15/2021,0519hrs,24.7,24.7,Moderate,1308,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
5,5,DSV,01/19/2021,1052hrs,23.8,24.0,BIDI+Brushes,01/22/2021,0540hrs,24.3,24.3,Worn,959,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
6,6,DSV,05/13/2021,1135hrs,22.9,23.4,BIDI Without Brushes,05/18/2021,1657hrs,23.2,23.2,OK,1735,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
7,7,DSV,03/25/2021,0814hrs,22.4,24.9,BIDI Without Brushes,03/30/2021,0016hrs,24.8,24.8,Moderate,2804,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
8,8,DSV,02/10/2021,2218hrs,18.4,21.2,BIDI Without Brushes,02/13/2021,0720hrs,24.9,24.9,OK,1320,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
9,9,DSV,10/19/2021,1316hrs,23.3,24.6,BIDI Without Brushes,10/23/2021,0804hrs,24.2,24.2,OK,2949,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
10,10,DSV,08/03/2021,0954hrs,24.8,24.8,BIDI+Brushes,08/06/2021,1020hrs,24.9,24.9,OK,1923,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",28'' Nkpoku-Ebubu TL
1,1,DSV,12/27/2021,1814hrs,22.7,24.9,BIDI Without Brushes,01/01/2022,1530hrs,24.1,24.1,Worn,1979,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
2,2,DSV,12/23/2021,1906hrs,20.9,23.1,BIDI Without Brushes,12/27/2021,1942hrs,24.4,24.4,Moderate,617,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
3,3,DSV,06/20/2021,2246hrs,23.0,24.7,BIDI+Brushes,06/24/2021,1928hrs,23.3,23.3,OK,2389,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
4,4,DSV,07/24/2021,2325hrs,16.4,23.8,BIDI+Brushes,07/26/2021,1501hrs,17.3,17.3,OK,2888,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
5,5,DSV,09/13/2021,1316hrs,21.7,24.8,BIDI Without Brushes,09/15/2021,1244hrs,22.4,22.4,Worn,1970,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
6,6,DSV,08/06/2021,0152hrs,21.0,24.0,BIDI Without Brushes,08/10/2021,2247hrs,22.8,22.8,Worn,865,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
7,7,DSV,10/09/2021,0826hrs,20.9,22.0,BIDI+Brushes,10/13/2021,0215hrs,23.3,23.3,Moderate,2688,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
8,8,DSV,07/26/2021,2022hrs,23.9,25.0,BIDI+Brushes,07/30/2021,0454hrs,24.7,24.7,OK,1707,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
9,9,DSV,08/10/2021,0852hrs,21.2,24.7,BIDI+Brushes,08/15/2021,1646hrs,23.9,23.9,Moderate,1271,Sand,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
10,10,DSV,12/11/2021,1823hrs,17.7,24.2,BIDI+Brushes,12/13/2021,1410hrs,20.6,20.6,Moderate,555,Sand/Sludge,"L=1570mm, Thickness ge=45mm, Thickness sc=30mm, Dia ge=890mm, Dia sc=920mm, Brushes=100mm, Height brushes=70mm",36'' Ogale-Imo River TL
